Stop,Lat,Long
1,23.56451333,87.28308833
2,23.55935299,87.28474218
3,23.55974686,87.29105167
4,23.55965167,87.29900667
5,23.55931403,87.30367498
6,23.55638,87.30353167
7,23.55445233,87.30515905
8,23.55279833,87.307795
9,23.55008554,87.31226513
10,23.54802885,87.31577618
11,23.54631667,87.31860333
12,23.54211667,87.32569833
13,23.54010934,87.32957257
14,23.53770508,87.33396174
15,23.53592833,87.33740167
16,23.53399268,87.34188019
17,23.53199333,87.34505167
18,23.52723683,87.3419682
19,23.52420126,87.33997251
20,23.52339667,87.33937167
21,23.52044561,87.34130574
22,23.51962532,87.34278082
23,23.51899,87.34383
24,23.51776833,87.34604333
25,23.515995,87.34921833
26,23.51532593,87.35206865
27,23.5158748,87.3548276
28,23.51829,87.35794167
29,23.51685333,87.36022
30,23.51494,87.35891833
31,23.51288183,87.35758133
32,23.51078667,87.3562
33,23.50864229,87.35480909
34,23.50425167,87.35286333
35,23.50106226,87.34520472
36,23.49794025,87.33748374
37,23.49778284,87.33484252
38,23.497285,87.32887333
39,23.4968894,87.32435897
40,23.50697833,87.31082333
41,23.503625,87.30776333
42,23.50026162,87.30606288
43,23.49495833,87.31682833
